user,product,type,act,timestamp
1,2268318,2520377,pv,1511544070
1,2333346,2520771,pv,1511561733
1,2576651,149192,pv,1511572885
1,3830808,4181361,pv,1511593493
1,4365585,2520377,pv,1511596146
1,4606018,2735466,pv,1511616481
1,230380,411153,pv,1511644942
1,3827899,2920476,pv,1511713473
1,3745169,2891509,pv,1511725471
1,1531036,2920476,pv,1511733732
1,2266567,4145813,pv,1511741471
1,2951368,1080785,pv,1511750828
1,3108797,2355072,pv,1511758881
1,1338525,149192,pv,1511773214
1,2286574,2465336,pv,1511797167
1,5002615,2520377,pv,1511839385
1,2734026,4145813,pv,1511842184
1,5002615,2520377,pv,1511844273
1,3239041,2355072,pv,1511855664
1,4615417,4145813,pv,1511870864
1,4152983,2355072,pv,1511871096
1,266784,2520771,pv,1511884553
1,46259,149192,pv,1511892772
1,266784,2520771,pv,1511909676
1,4092065,2355072,pv,1511910242
1,1305059,2520771,pv,1511911930
1,2791761,2355072,pv,1511914689
1,3239041,2355072,pv,1511939239
1,46259,149192,pv,1511940971
1,4973305,2520771,pv,1511969365
1,2087357,2131531,pv,1511975142
1,3157558,2520771,pv,1511984943
1,2087357,2131531,pv,1512004568
1,4170517,149192,pv,1512011019
1,1340922,4690421,pv,1512041260
1,3911125,982926,pv,1512044958
1,4170517,149192,pv,1512049438
1,3682069,4690421,pv,1512059832
1,4954999,411153,pv,1512061318
1,79715,2355072,pv,1512064350
1,4666650,4756105,pv,1512084223
1,1323189,3524510,pv,1512149435
1,4198227,1320293,pv,1512149929
1,4954999,411153,pv,1512172732
1,2041056,4801426,pv,1512187543
1,3219016,3002561,pv,1512190033
1,2104483,4756105,pv,1512194830
1,2028434,4801426,pv,1512224248
1,3219016,3002561,pv,1512244023
1,2278603,3002561,pv,1512251522
1,929177,4801426,pv,1512252443
1,4954999,411153,pv,1512264993
1,818610,411153,pv,1512268502
1,271696,411153,pv,1512272591
1,568695,1320293,pv,1512281847
100,4572582,2188684,pv,1511550516
100,2971043,4869428,pv,1511550600
100,2379198,4869428,pv,1511550806
100,2971043,4869428,pv,1511550885
100,1220136,4869428,pv,1511550908
100,2518420,3425094,pv,1511551443
100,3763048,3425094,pv,1511551450
100,2518420,3425094,pv,1511551495
100,1953042,3425094,pv,1511551619
100,3763048,3425094,fav,1511551860
100,5100093,2945933,pv,1511552352
100,704268,223690,pv,1511563606
100,4115850,223690,fav,1511563834
100,2379198,4869428,pv,1511564961
100,2971043,4869428,fav,1511565222
100,1803559,1813868,pv,1511576533
100,1603476,2951233,buy,1511579908
100,3621238,1521931,pv,1511582166
100,2971043,4869428,buy,1511617549
100,2337874,1194311,pv,1511680485
100,4182583,1258177,pv,1511680521
100,2758020,2429887,pv,1511683649
100,4919803,2881542,pv,1511684032
100,3839112,2881542,pv,1511684109
100,4848310,2881542,pv,1511684220
100,3245421,2881542,pv,1511684245
100,2434962,3897386,pv,1511690835
100,3486895,4302328,pv,1511702025
100,3245421,2881542,pv,1511704155
100,3222578,2429887,pv,1511739395
100,2758020,2429887,pv,1511739402
100,2158340,2429887,pv,1511742127
100,2337874,1194311,pv,1511742199
100,3245421,2881542,fav,1511742273
100,2758020,2429887,pv,1511742275
100,3245421,2881542,pv,1511742513
100,2752250,2429887,pv,1511742799
100,2158340,2429887,fav,1511742875
100,598929,2429887,pv,1511742899
100,4182583,1258177,pv,1511745391
100,1819306,1194311,pv,1511745401
100,4182583,1258177,pv,1511750991
100,2337874,1194311,pv,1511751022
100,3658601,2342116,pv,1511757958
100,5153036,2342116,pv,1511758581
100,598929,2429887,buy,1511759458
100,3245421,2881542,pv,1511759664
100,598929,2429887,pv,1511765548
100,2971043,4869428,pv,1511765568
100,4661590,3425094,pv,1511765639
100,4902636,3425094,pv,1511765659
100,1046201,3002561,pv,1511765687
100,3687011,223690,pv,1511765918
100,2677866,3624696,pv,1511766122
100,4492008,4482016,pv,1511766135
100,2690154,2293367,pv,1511766238
100,4341929,2293367,fav,1511766408
100,4863356,2293367,pv,1511766426
100,4244099,2293367,pv,1511766434
100,562760,2293367,pv,1511766436
100,4863356,2293367,pv,1511766455
100,1640913,2293367,pv,1511766462
100,2206711,2293367,pv,1511766473
100,3895389,2293367,pv,1511766505
100,1046201,3002561,buy,1511767298
